social10,self_esteem,locus,ses,gpa,parent_ed
55.54,-0.23,-0.14,-0.937,3.3,2
59.82,-0.1,0.07,1.605,4,6
56.51,-0.28,-0.37,1.085,3.5,5
56.89,-0.1,0.07,-0.499,3.5,5
57.91,0.07,0.3,0.678,3.8,4
40.73,1.33,0.09,-0.603,4,7
38.51,-0.64,-0.58,-1.575,1.3,1
40.6,-0.29,-0.14,-1.032,3.8,1
54.94,-0.68,-0.35,-0.203,3.5,3
59.8,0.74,0.74,-0.366,2,5
45.07,-0.87,-0.14,-0.502,4,3
69.16,-0.1,0.11,0.622,2.8,5
33.75,-0.84,-0.83,0.233,2.3,4
42.03,-0.23,0.07,0.192,3.5,4
60.05,-0.45,-0.14,0.687,3.5,5
68.03,0.71,0.51,0.204,3.8,4
58.54,0.6,0.51,1.724,3.8,7
60.69,1.14,0.1,0.483,3.8,4
46.73,-0.28,-0.14,-0.45,3.5,4
66.43,0.09,-0.6,0.341,4,2
34.92,-1.07,-0.19,0.108,2.8,2
65.28,0.67,1.18,0.902,3.8,6
29.15,-1.53,-1.3,-1.311,3,1
44.61,-0.1,0.07,0.238,3.5,3
63.6,-1.27,-0.83,-0.215,4,3
37.69,-0.45,-0.36,-1.475,3.5,1
59.6,-1.08,-0.15,-0.187,3.8,7
30.66,-0.32,-0.58,-0.335,3.5,1
60.53,1.33,0.58,0.101,1.8,6
43.12,-0.66,-0.6,-1.22,1.8,1
57.08,0.33,0.53,0.122,4,6
47.56,0.33,0.51,-0.938,2.8,2
53.84,-0.77,-0.63,0.429,3.5,2
59.65,1.33,1.43,1.628,4,7
48.32,0.38,0.56,-0.744,4,3
33.35,-0.01,-1.78,0.325,2.5,7
62.79,0.17,0.07,-0.444,4,4
51.03,-0.64,-0.81,-0.051,1.5,3
64.53,-0.1,0.07,0.905,2.5,5
37,-0.36,0.28,-0.707,1.5,3
64.74,-0.06,0.07,-0.078,3.5,4
45.99,-0.45,0.3,1.055,3.5,5
67.72,-0.08,0.72,0.224,3.3,5
50.56,-0.1,-0.16,0.189,2.8,5
63.32,1.16,1.2,1.002,3.5,5
61.39,-0.1,0.3,0.853,4,5
63.4,0.79,-0.14,1.108,4,7
36.65,-0.23,-0.61,0.572,2.8,6
59.36,0.21,-1.96,0.841,3,6
49.24,-0.04,0.95,-0.049,2.5,2
64.53,1.14,0.74,0.927,3.5,5
54.06,1.14,1.43,1.326,3.8,7
38.55,0.11,0.1,0.03,2.3,4
63.81,-0.1,0.07,0.808,3.8,4
57.59,-1.12,-0.19,-0.211,3.5,2
49.04,-0.23,0.07,-0.355,1.9,4
60.27,-0.1,-0.39,1.011,2.3,7
57.63,-0.23,-0.14,1.476,2.8,6
65.9,-0.31,-0.19,1.391,3.3,7
58.74,0.39,0.3,1.041,3,5
69.16,0,1.2,1.419,3.8,7
65.81,1.14,0.35,1.547,4,6
62.13,0.66,0.53,1.154,3.8,6
54.94,-1.11,-0.35,1.797,2.8,7
59.98,0.96,0.52,0.819,1.8,5
51.5,1.14,0.48,1.014,2.5,5
